pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-264.8677,-177.7092,42.7207,-1.271615,877.08,0.172759
-264.4196,-179.3635,43.0135,-1.24592,878.75,0.173088
-263.9317,-181.0199,43.3319,-1.221458,880.44,0.173419
-263.4048,-182.6768,43.586,-1.19816,882.26,0.173779
-262.8384,-184.3324,43.941,-1.170046,883.97,0.174115
-262.2306,-185.9887,44.2397,-1.145196,885.69,0.174454
-261.5847,-187.6399,44.4011,-1.124949,887.55,0.174821
-260.9011,-189.2812,44.5354,-1.10265,889.29,0.175163
-260.1772,-190.9143,44.8115,-1.079536,891.03,0.175507
-259.4112,-192.5415,45.1112,-1.060489,892.92,0.175879
-258.6035,-194.1604,45.374,-1.040286,894.69,0.176227
-257.7571,-195.7728,45.6906,-1.022449,896.47,0.176578
-256.8714,-197.3784,46.0127,-1.003401,898.4,0.176958
-255.9464,-198.9775,46.3983,-0.980259,900.21,0.177313
-254.9799,-200.5708,46.7888,-0.95614,902.03,0.177672
-253.973,-202.1565,47.168,-0.933558,904,0.17806
-252.9246,-203.7326,47.5305,-0.909291,905.85,0.178425
-251.8349,-205.3003,47.9231,-0.888192,907.71,0.178792
-250.7065,-206.8569,48.2407,-0.867619,909.73,0.17919
-249.5415,-208.4027,48.5805,-0.845152,911.62,0.179562
-248.3387,-209.9371,48.9266,-0.819499,913.52,0.179937
-247.0973,-211.4589,49.3076,-0.795211,915.59,0.180343
-245.8177,-212.9678,49.663,-0.77325,917.52,0.180723
-244.5025,-214.4652,50.0217,-0.755648,919.46,0.181106
-243.1543,-215.9511,50.3558,-0.742063,921.57,0.181521
-241.7737,-217.4249,50.7071,-0.727538,923.54,0.181909
-240.3586,-218.8876,51.1133,-0.713711,925.53,0.182301
-238.9084,-220.3392,51.5384,-0.704641,927.68,0.182725
-237.4265,-221.779,51.894,-0.696292,929.7,0.183123
-235.9111,-223.2073,52.304,-0.687853,931.73,0.183523
-234.362,-224.6258,52.8194,-0.684163,933.94,0.183958
-232.7789,-226.0351,53.2626,-0.685843,936.01,0.184365
-231.1662,-227.438,53.7182,-0.690736,938.1,0.184777
-229.5261,-228.8379,54.1999,-0.694414,940.37,0.185224
-227.8633,-230.2369,54.5617,-0.69256,942.49,0.185642
-226.1793,-231.6332,54.9517,-0.682263,944.63,0.186063
-224.4716,-233.0251,55.2053,-0.669229,946.94,0.186519
-222.7455,-234.4044,55.3299,-0.655591,949.1,0.186944
-221.0005,-235.7668,55.543,-0.64035,951.26,0.18737
-219.2284,-237.1128,55.9283,-0.620534,953.6,0.187831
-217.4244,-238.4432,56.296,-0.608347,955.79,0.188263
-215.5927,-239.7543,56.5125,-0.592314,957.99,0.188696
-213.7328,-241.0472,56.943,-0.575011,960.38,0.189166
-211.8432,-242.3233,57.2454,-0.56521,962.6,0.189604
-209.928,-243.5821,57.5676,-0.553607,964.84,0.190045
