pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
328.8212,32.9492,86.6435,19.7293,-0.554345,621.94,0.135444
330.295,32.0379,86.6663,19.6076,-0.553781,623.76,0.13584
331.7696,31.1272,86.6774,19.4852,-0.553235,625.58,0.136236
333.2449,30.2172,86.6935,19.38,-0.55271,627.14,0.136575
334.721,29.3076,86.7248,19.2615,-0.55226,628.96,0.136972
336.198,28.3982,86.7472,19.1414,-0.551866,630.78,0.137369
337.6755,27.4891,86.7615,19.0387,-0.551613,632.34,0.137709
339.1534,26.5801,86.7784,18.9206,-0.551417,634.17,0.138106
340.6318,25.671,86.8038,18.8069,-0.551303,635.99,0.138502
342.1108,24.7618,86.8271,18.703,-0.551215,637.56,0.138844
343.5901,23.8524,86.8447,18.5848,-0.551153,639.37,0.139238
345.0695,22.9432,86.7704,18.4636,-0.551095,641.19,0.139636
346.5469,22.0353,86.6992,18.3633,-0.551055,642.75,0.139976
348.0242,21.1274,86.7243,18.2467,-0.551043,644.57,0.140372
349.5019,20.2193,86.7504,18.1296,-0.551056,646.4,0.14077
350.9799,19.3109,86.7592,18.0317,-0.551063,647.96,0.14111
352.4579,18.4025,86.713,17.9176,-0.551075,649.78,0.141506
353.9341,17.4952,86.625,17.801,-0.551114,651.6,0.141903
355.41,16.588,86.6446,17.7014,-0.551162,653.16,0.142243
356.8861,15.6804,86.657,17.5851,-0.551289,654.98,0.142639
358.3624,14.7723,86.6562,17.4711,-0.551456,656.8,0.143036
359.8371,13.8647,86.5305,17.3726,-0.55169,658.36,0.143375
361.3105,12.9573,86.5449,17.2619,-0.551979,660.18,0.143771
